Date,Serial number,Sequence code,Name,Order,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species,Subspecies,Sex,Adult/Larvae,Latitude,Longitude,Elevation,Locality,Environment,Collector
2020/11/17,20111715-15,Mt15-1,Micrencaustes (Mimencaustes) taiwana,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Micrencaustes,Mimencaustes,taiwana,,_,Adult,22.407561,120.772658,1436,"Chunri Township, Pingtung County",Microporus affinis,___(Guan Jie Phang)
2020/11/17,20111715-16,Ai1(Ai15-1),Aulacocheilus (Aulacocheilus) issikii,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Encaustini,,Aulacocheilus,Aulacocheilus,issikii,,_,Adult,22.407632,120.756545,1472,"Chunri Township, Pingtung County",Trametes versicolor,___(Guan Jie Phang)
2020/11/17,20111715-21(3),Dj15-1,Dacne japonica,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Dacnini,,Dacne,,japonica,,,Adult,22.41,120.765,1462,"Chunri Township, Pingtung County",maybe Gloeophyllales,___(Guan Jie Phang)
2020/11/18,20111812-1,Tsp12-1,Pseudotritoma sp. 3,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,,,,,Adult,23.477647,120.821742,2292,"Alishan Township, Chiayi County",Oligoporus s. l.,___(Guan Jie Phang)
2020/11/18,20111812-2,Tsp12-2,Pseudotritoma sp. 4,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Tritoma,,,,,Adult,23.477,120.821,2280,"Alishan Township, Chiayi County",Oligoporus s. l.,___(Guan Jie Phang)
2020/11/18,20111812-7(0),Ne12-1,Neotriplax sp. 2,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Neotriplax,,,,_,Adult,23.515231,120.810106,2218,"Alishan Township, Chiayi County",Trametes versicolor,___(Guan Jie Phang)
2020/11/18,20111812-8(0),Ne12-2,Neotriplax sp. 2,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Neotriplax,,,,_,Adult,23.515231,120.810106,2218,"Alishan Township, Chiayi County",Trametes versicolor,___(Guan Jie Phang)
2020/11/18,20111812-9(0),Ne12-3,Neotriplax sp. 2,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Neotriplax,,,,_,Adult,23.515231,120.810106,2218,"Alishan Township, Chiayi County",Trametes versicolor,___(Guan Jie Phang)
2020/11/18,20111812-10(0),Ne12-4,Neotriplax sp. 2,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Neotriplax,,,,_,Adult,23.515231,120.810106,2218,"Alishan Township, Chiayi County",Trametes versicolor,___(Guan Jie Phang)
2020/11/18,20111812-11(0),Ne12-5,Neotriplax sp. 2,Coleoptera,Erotyloidea,Erotylidae,Erotylinae,Tritomini,,Neotriplax,,,,_,Adult,23.515231,120.810106,2218,"Alishan Township, Chiayi County",Trametes versicolor,___(Guan Jie Phang)
